sid,sequence
P525,"['C','E5','E1','S']"
P526,"['E19','E','E','C','C','S']"
P528,"['E18','E18','C','C','N']"
P529,"['E17','S']"
P530,"['C','S']"
P531,"['E208','C','C','C','S']"
P534,"['E82','E113''E121','C','E5','S']"
P536,"['C','S']"
P537,"['E45','C','C','C','N']"
P538,"['M','E121','C','C','S']"
P540,"['E201','C','C','S']"
P541,"['E67','E113''E116','C','S']"
P542,"['E107','E','E','M','C','S']"
P543,"['E19','S']"
P546,"['E109','E55','S']"
P547,"['E17','S']"
P548,"['E17','E97','E105','E130','E129','N']"
P551,"['E107','E74','E112','M','C','S']"
P556,"['E18','C','M','C','E5','S']"
P557,"['C','S']"
P558,"['M','E135','E20','N']"
P559,"['E10','E197','S']"
P562,"['E125','N']"
P563,"['E166','E19','C','C','S']"
P564,"['E205','S']"
P566,"['C','S']"
P568,"['E202','S']"
P569,"['E107','E57','C','C','S']"
P570,"['E119','C','S']"
P571,"['E41','C','C','C','S']"
P572,"['E131','S']"
P573,"['C','C','S']"
P574,"['E120','E20','S']"
P575,"['E113''E119','S']"
P576,"['M','C','C','S']"
P577,"['E106','E177','C','C','S']"
P578,"['E157','N']"
P579,"['C','S']"
P580,"['E17','C','S']"
P582,"['E17','E174','S']"
P583,"['E26','S']"
P584,"['E60','S']"
P585,"['E109','E193','N']"
P586,"['C','N']"
P588,"['E18','C','N']"
P589,"['E107','E19','E105','E','C','E','E6','C','C','S']"
P590,"['E18','C','C','S']"
P591,"['E19','E89','C','C','C','C','N']"
P593,"['E17','C','S']"
P594,"['E57','C','C','S']"
P595,"['C','S']"
P596,"['C','S']"
P597,"['E130','S']"
P598,"['E101','E6','S']"
P599,"['E209','M','M','C','C','C','C','N']"
P600,"['C','S']"
P601,"['E19','E59','E5','S']"
P602,"['E107','E78','M','C','C','S']"
P604,"['E31','C','C','S']"
P606,"['E191','C','C','S']"
P607,"['C','C','C','C','S']"
P608,"['C','S']"
P609,"['E13','S']"
P610,"['E55','E5','S']"
P611,"['C','E17','E192','C','S']"
P614,"['E152','C','E6','S']"
P615,"['E19','M','E121','C','S']"
P617,"['E107','E68','C','C','E6','C','S']"
P618,"['E6','S']"
P620,"['E139','C','C','C','S']"
P623,"['E19','E105','C','C','S']"
P624,"['E19','E116','S']"
P625,"['E146','E6','C','S']"
P626,"['E107','M','M','C','C','C','S']"
P627,"['C','S']"
P628,"['E28','C','E122','C','N']"
P630,"['C','S']"
P631,"['E107','E8','C','S']"
P632,"['E125''E130','N']"
P633,"['E122','E129','N']"
P635,"['E107','E19','E59','S']"
