,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
41,frozenset({'A101'}),frozenset({'A211'}),0.907,0.7,0.635,0.7001102535832414,1.0001575051189164,9.999999999998899e-05,1.0003676470588236
89,frozenset({'A112'}),frozenset({'A211'}),0.308,0.7,0.211,0.685064935064935,0.9786641929499073,-0.004599999999999993,0.9525773195876289
105,frozenset({'A114'}),frozenset({'A211'}),0.413,0.7,0.289,0.6997578692493946,0.9996540989277067,-9.999999999998899e-05,0.9991935483870968
133,frozenset({'A121'}),frozenset({'A211'}),0.282,0.7,0.222,0.7872340425531916,1.1246200607902739,0.02460000000000004,1.410000000000001
149,frozenset({'A123'}),frozenset({'A211'}),0.332,0.7,0.23,0.6927710843373494,0.9896729776247849,-0.0023999999999999855,0.9764705882352941
165,frozenset({'A132'}),frozenset({'A211'}),0.409,0.7,0.262,0.6405867970660147,0.9151239958085925,-0.024299999999999933,0.8346938775510206
181,frozenset({'A133'}),frozenset({'A211'}),0.315,0.7,0.235,0.7460317460317459,1.0657596371882085,0.014500000000000013,1.1812499999999997
199,frozenset({'A14'}),frozenset({'A211'}),0.394,0.7,0.348,0.8832487309644669,1.2617839013778098,0.07219999999999999,2.5695652173913017
222,frozenset({'A143'}),frozenset({'A211'}),0.814,0.7,0.59,0.7248157248157249,1.0354510354510356,0.020199999999999996,1.0901785714285719
263,frozenset({'A152'}),frozenset({'A211'}),0.713,0.7,0.527,0.7391304347826088,1.0559006211180126,0.02790000000000009,1.1500000000000004
293,frozenset({'A161'}),frozenset({'A211'}),0.633,0.7,0.433,0.684044233807267,0.9772060482960957,-0.010099999999999998,0.9495000000000001
319,frozenset({'A162'}),frozenset({'A211'}),0.333,0.7,0.241,0.7237237237237236,1.0338910338910339,0.00789999999999999,1.085869565217391
333,frozenset({'A171'}),frozenset({'A211'}),0.848,0.7,0.593,0.6992924528301887,0.998989218328841,-0.0005999999999999339,0.9976470588235297
365,frozenset({'A172'}),frozenset({'A211'}),0.303,0.7,0.216,0.7128712871287128,1.0183875530410185,0.0039000000000000146,1.0448275862068965
373,frozenset({'A173'}),frozenset({'A211'}),0.63,0.7,0.444,0.7047619047619048,1.0068027210884356,0.003000000000000058,1.016129032258065
391,frozenset({'A191'}),frozenset({'A211'}),0.596,0.7,0.409,0.6862416107382551,0.9803451581975073,-0.008199999999999985,0.9561497326203211
411,frozenset({'A192'}),frozenset({'A211'}),0.404,0.7,0.291,0.7202970297029702,1.0289957567185288,0.008199999999999985,1.0725663716814156
419,frozenset({'A201'}),frozenset({'A211'}),0.963,0.7,0.667,0.6926272066458983,0.989467438065569,-0.007099999999999884,0.9760135135135137
451,frozenset({'A22'}),frozenset({'A211'}),0.403,0.7,0.295,0.7320099255583126,1.0457284650833036,0.012899999999999967,1.1194444444444442
453,frozenset({'A32'}),frozenset({'A211'}),0.53,0.7,0.361,0.6811320754716981,0.9730458221024259,-0.010000000000000009,0.9408284023668639
455,frozenset({'A34'}),frozenset({'A211'}),0.293,0.7,0.243,0.8293515358361775,1.1847879083373964,0.03790000000000002,1.7580000000000005
457,frozenset({'A43'}),frozenset({'A211'}),0.28,0.7,0.218,0.7785714285714285,1.1122448979591837,0.021999999999999992,1.354838709677419
459,frozenset({'A52'}),frozenset({'A211'}),0.504,0.7,0.375,0.7440476190476191,1.0629251700680273,0.022199999999999998,1.1720930232558142
461,frozenset({'A61'}),frozenset({'A211'}),0.603,0.7,0.386,0.6401326699834163,0.9144752428334519,-0.036099999999999965,0.833640552995392
463,frozenset({'A73'}),frozenset({'A211'}),0.339,0.7,0.235,0.6932153392330382,0.990307627475769,-0.0023000000000000242,0.9778846153846152
465,frozenset({'A84'}),frozenset({'A211'}),0.476,0.7,0.317,0.6659663865546219,0.9513805522208886,-0.016199999999999937,0.8981132075471702
467,frozenset({'A92'}),frozenset({'A211'}),0.31,0.7,0.201,0.6483870967741936,0.9262672811059909,-0.015999999999999986,0.8532110091743121
469,frozenset({'A93'}),frozenset({'A211'}),0.548,0.7,0.402,0.7335766423357664,1.0479666319082377,0.018400000000000027,1.126027397260274
578,"frozenset({'A101', 'A114'})",frozenset({'A211'}),0.38,0.7,0.268,0.7052631578947369,1.0075187969924815,0.0020000000000000573,1.0178571428571432
656,"frozenset({'A101', 'A123'})",frozenset({'A211'}),0.318,0.7,0.223,0.7012578616352201,1.0017969451931716,0.00040000000000001146,1.0042105263157894
704,"frozenset({'A101', 'A132'})",frozenset({'A211'}),0.368,0.7,0.235,0.6385869565217391,0.9122670807453417,-0.02260000000000001,0.830075187969925
746,"frozenset({'A101', 'A133'})",frozenset({'A211'}),0.288,0.7,0.215,0.7465277777777778,1.066468253968254,0.013400000000000023,1.1835616438356167
794,"frozenset({'A101', 'A14'})",frozenset({'A211'}),0.373,0.7,0.331,0.8873994638069705,1.2677135197242437,0.06990000000000002,2.6642857142857155
858,"frozenset({'A143', 'A101'})",frozenset({'A211'}),0.742,0.7,0.538,0.725067385444744,1.0358105506353488,0.01860000000000006,1.0911764705882359
974,"frozenset({'A101', 'A152'})",frozenset({'A211'}),0.647,0.7,0.475,0.7341576506955177,1.0487966438507397,0.02210000000000001,1.1284883720930232
1058,"frozenset({'A101', 'A161'})",frozenset({'A211'}),0.573,0.7,0.389,0.6788830715532287,0.9698329593617553,-0.012099999999999944,0.9342391304347829
1112,"frozenset({'A162', 'A101'})",frozenset({'A211'}),0.301,0.7,0.221,0.7342192691029901,1.0488846701471288,0.010300000000000031,1.1287500000000004
